,price_log,age_log,mileage_log,model,model_ref_price_log,origin,origin_multiplier,province_clean,province_scoli
8136,9.104979856318357,3.091042453358316,11.512925464970229,Wave,9.975342989636557,Thái Lan,2,Hà Nội,100.0
8137,10.571316925111784,2.1972245773362196,12.706847933442663,SH,11.6952282715884,Việt Nam,1,Cà Mau,89.17
8140,9.350102314351341,2.0794415416798357,9.615805480084347,Jupiter,10.257659366256743,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8142,8.922658299524402,2.6390573296152584,11.002099841204238,Sirius,9.934743942186682,Việt Nam,1,Bình Dương,94.25
8143,10.46310334047155,1.3862943611198906,9.102086786535928,Lead,10.677984278792396,Việt Nam,1,Hải Phòng,96.07
8144,9.635608107380527,3.1354942159291497,6.906754778648554,Wave,9.975342989636557,Nhật Bản,3,Đồng Nai,93.54
8146,8.612503371220562,1.9459101490553132,9.210340371976184,Wave,9.975342989636557,Hàn Quốc,3,Cà Mau,89.17
8147,10.545341438708522,1.3862943611198906,10.043249494911286,Air Blade,10.826555268689306,Đang cập nhật,1,Đà Nẵng,93.51
8148,11.042921835724492,2.0794415416798357,10.596634733096073,Vario,10.77874793485229,Nước khác,1,TP. Hồ Chí Minh,98.44
8149,10.46310334047155,0.6931471805599453,10.571316925111784,Vario,10.77874793485229,Việt Nam,1,Kiên Giang,92.18
8150,9.546812608597396,1.6094379124341003,10.165851817003619,Winner X,10.786428304728728,Việt Nam,1,Đà Nẵng,93.51
8154,9.680281499268713,0.6931471805599453,9.104979856318357,Wave,9.975342989636557,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8155,10.46310334047155,0.6931471805599453,10.571316925111784,Vario,10.77874793485229,Đang cập nhật,1,Kiên Giang,92.18
8156,8.922658299524402,2.4849066497880004,11.002099841204238,Lead,10.677984278792396,Việt Nam,1,Hà Nội,100.0
8157,8.779557455883728,2.3978952727983707,10.239959789157341,Wave,9.975342989636557,Việt Nam,1,Hà Nội,100.0
8158,9.95227771670556,1.0986122886681098,11.512925464970229,Exciter,10.834863921828324,Việt Nam,1,Đồng Nai,93.54
8159,10.203592144986466,1.3862943611198906,10.596634733096073,Vario,10.77874793485229,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8161,10.46310334047155,1.6094379124341003,10.308952660644293,Vario,10.77874793485229,Nước khác,1,TP. Hồ Chí Minh,98.44
8162,9.137769679141348,1.6094379124341003,10.596634733096073,Wave,9.975342989636557,Thái Lan,2,TP. Hồ Chí Minh,98.44
8164,10.06475570013225,0.6931471805599453,9.472704636443673,Mio,10.165851817003619,Thái Lan,2,TP. Hồ Chí Minh,98.44
8165,8.294049640102028,2.3978952727983707,11.156250521031495,Liberty,10.975071168816319,Trung Quốc,2,Hải Phòng,96.07
